#As_1e9    ns    H0    omegab    omegam    omegach2    w0pwa   w    xi+    xi+_msk    xi-    xi-_msk    gammat    gammat_msk    wtheta    wtheta_msk    msk
1.8978695 0.97954462 60.412633 0.043014182 0.27236668 0.083061327 -1.0 -1.0921979 0.13639394707981672 0.030762323089634086 0.17799841716114956 0.01532181204689509 0.01005650771643416 0.002271874274397802 0.0061918989503456775 0.0006148870369321149 0.3252829923340743
2.1660115 0.96844413 62.255966 0.054817779 0.28373039 0.088076933 -1.0 -0.88851748 0.14752139588273744 0.0357338853071621 0.19292450139468847 0.01791048201596703 0.012581285315837179 0.002835207906442887 0.005759536763391091 0.001180856988064135 0.3733896530957184
2.4052848 0.97398731 61.445738 0.051022213 0.30758782 0.096223227 -1.0 -0.98452218 0.38844948479102764 0.0698604500719822 0.5347734593710101 0.03383377342768086 0.03398753461466872 0.005246860121729606 0.01059155263664335 0.0013229883877608393 0.718040475751589
1.7123431 0.94226923 75.285413 0.042730946 0.316945 0.15477647 -1.0 -1.0132518 0.7715604802678054 0.11147904239233189 1.0842036657596532 0.042845796041576484 0.07959187308012203 0.008772873369204721 0.016920994253347376 0.0007458307281128783 1.0736073577427399
2.1111235 0.9705339 60.33543 0.047450245 0.29673869 0.090104933 -1.0 -1.0779263 0.2395212273313036 0.0500672878313881 0.3170739973908837 0.02443762779311293 0.019509966187622657 0.003557134907565399 0.008344498147162439 0.0009659633142323679 0.5231050916139094
1.7604267 0.98083918 62.99616 0.041818861 0.33419332 0.11538414 -1.0 -1.0831174 0.5180831140960873 0.08095586146456225 0.7237684884422766 0.03354876934330437 0.04270981983676238 0.005388794355561927 0.010465700381435525 0.000596186531662966 0.7785674334024641
1.7948809 0.95065963 73.05158 0.041289262 0.27565063 0.12442259 -1.0 -0.90743571 0.3144942292770019 0.05319222933844351 0.42822677910661316 0.022350783169982954 0.03353407295015858 0.004714517363288245 0.012011644402325971 0.0008314936314407032 0.5473142849102499
1.8242378 0.95263069 72.569855 0.041300532 0.27985959 0.12498922 -1.0 -1.1141928 0.4313770540461019 0.07090696194133236 0.6049031425733391 0.03065063876891384 0.042758556980725865 0.005717691686717753 0.015997959672504846 0.0008354907791875459 0.7205200697743471
2.0722272 0.97478692 73.638184 0.053687803 0.2809689 0.1225999 -1.0 -1.1019664 0.45604136730312583 0.07742247706892885 0.6139556558342061 0.0332407176111423 0.04484249724879941 0.006138727020642573 0.017959810928509637 0.0015907413889367636 0.79696426765951
1.6182384 0.95582897 69.478761 0.046606898 0.28235453 0.11315727 -1.0 -1.003085 0.207765699812771 0.03830511612101105 0.28233704374007884 0.017562212605529873 0.017443516939077593 0.003085608792698443 0.008345371869336227 0.0006035814394501873 0.39807168296025564
